edge_id,geometry_wkt
0,"LINESTRING (708207.201122 7055913.54794, 708284.131662 7055927.422129)"
29,"LINESTRING (707390.700548 7055602.71866, 707398.303933 7055612.879414)"
59,"LINESTRING (707660.470835 7055868.838719, 707642.882743 7055864.201722)"
89,"LINESTRING (707430.519097 7055931.026752, 707440.476509 7055925.06763)"
118,"LINESTRING (707865.739462 7055939.253751, 707844.261591 7055942.521784)"
148,"LINESTRING (704174.901963 7058783.13209, 704171.833569 7058791.709794)"
178,"LINESTRING (704343.218895 7058665.647515, 704342.903599 7058596.974041)"
207,"LINESTRING (704878.751603 7059140.340213, 704883.952916 7059052.0596)"
237,"LINESTRING (703558.577682 7059893.633916, 703489.32978 7059788.244365)"
267,"LINESTRING (706492.778432 7053892.96251, 706488.396177 7053897.414286)"
296,"LINESTRING (704815.404683 7060291.81261, 704805.154671 7060287.725434)"
326,"LINESTRING (703311.026896 7057790.335022, 703298.387542 7057789.101864)"
356,"LINESTRING (704646.962379 7061895.01905, 704647.219005 7061893.091471)"
385,"LINESTRING (704354.694116 7057864.402064, 704352.459673 7057866.160875)"
415,"LINESTRING (704560.534442 7062115.708306, 704561.158242 7062106.493272)"
445,"LINESTRING (704257.792447 7061962.739206, 704258.349311 7061947.763013)"
474,"LINESTRING (704340.491475 7061614.352046, 704339.153432 7061622.318443)"
504,"LINESTRING (704555.786937 7061473.750495, 704570.977558 7061472.12483)"
534,"LINESTRING (704493.948695 7062783.901203, 704494.987015 7062787.467938)"
564,"LINESTRING (704542.499131 7061679.655995, 704562.13964 7061667.492379)"
593,"LINESTRING (704755.664497 7061572.679491, 704761.850559 7061571.091268)"
623,"LINESTRING (703992.341479 7061945.182162, 703989.813429 7061943.887734)"
653,"LINESTRING (703918.434002 7061875.138778, 703912.675375 7061874.13185)"
682,"LINESTRING (709776.96152 7065731.757198, 709766.523403 7065717.49706)"
712,"LINESTRING (704267.407494 7061746.35477, 704269.992797 7061746.925051)"
742,"LINESTRING (704965.401455 7060492.396676, 704962.3203 7060491.079056)"
771,"LINESTRING (704129.918439 7059056.544671, 704127.63181 7059052.921546)"
801,"LINESTRING (710576.325381 7073281.322138, 710566.416428 7073264.975907)"
831,"LINESTRING (704549.907288 7065024.725034, 704551.079846 7065028.080264)"
860,"LINESTRING (698689.362435 7061313.090771, 698709.711142 7061318.65765)"
890,"LINESTRING (699019.674024 7061549.660885, 699030.522127 7061560.033363)"
920,"LINESTRING (709430.681323 7065237.768179, 709566.199257 7065397.165734)"
949,"LINESTRING (709254.275611 7064988.59896, 709246.664704 7064988.463785)"
979,"LINESTRING (711080.600899 7068986.740103, 711084.4602 7068985.031524)"
1009,"LINESTRING (710122.556021 7072668.298151, 710125.551528 7072677.386706)"
1038,"LINESTRING (709288.149133 7064936.123382, 709290.422682 7064935.636833)"
1068,"LINESTRING (710981.50427 7064608.212534, 710983.789056 7064605.754259)"
1098,"LINESTRING (705567.717233 7060120.796093, 705541.156017 7060165.609359)"
1128,"LINESTRING (704416.895426 7061615.726756, 704398.339541 7061618.141368)"
1157,"LINESTRING (704148.609429 7062141.886485, 704149.11772 7062134.67712)"
1187,"LINESTRING (703549.039991 7061333.329633, 703543.256586 7061325.715146)"
1217,"LINESTRING (702560.533157 7062003.871092, 702560.378485 7062001.308058)"
1246,"LINESTRING (701603.277659 7061619.840118, 701610.114466 7061618.482604)"
1276,"LINESTRING (706005.915591 7065129.747939, 706005.657685 7065132.567041)"
1306,"LINESTRING (710188.587567 7065941.574308, 710183.583336 7065941.264303)"
1335,"LINESTRING (710187.332317 7065938.942054, 710185.347147 7065936.743083)"
1365,"LINESTRING (710286.804629 7065893.166704, 710296.360115 7065889.941417)"
1395,"LINESTRING (710830.473329 7065741.878735, 710831.894942 7065742.550124)"
1424,"LINESTRING (710854.729857 7065754.774699, 710858.631693 7065754.147075)"
1454,"LINESTRING (701955.874072 7063300.308416, 701952.363238 7063294.702002)"
1484,"LINESTRING (704465.22935 7062169.431477, 704462.720978 7062117.100332)"
1513,"LINESTRING (710414.172227 7064158.637983, 710447.588684 7064192.54362)"
1543,"LINESTRING (710496.857672 7064257.492047, 710499.794298 7064262.333915)"
1573,"LINESTRING (710218.333522 7064291.287475, 710224.638809 7064285.671445)"
1603,"LINESTRING (710492.685466 7064416.749764, 710516.071826 7064436.473473)"
1632,"LINESTRING (710716.691182 7064736.587125, 710726.973054 7064747.104252)"
1662,"LINESTRING (710890.012622 7064704.3043, 710915.341611 7064735.879344)"
1692,"LINESTRING (709666.589816 7064716.44173, 709665.185094 7064718.055144)"
1721,"LINESTRING (704485.378186 7059505.677403, 704481.686844 7059504.415291)"
1751,"LINESTRING (704423.961016 7059452.888931, 704418.494568 7059446.800564)"
1781,"LINESTRING (704812.124324 7059442.46745, 704822.36212 7059446.075434)"
1810,"LINESTRING (705958.021351 7059629.022421, 705964.075286 7059634.054351)"
1840,"LINESTRING (705978.71408 7058210.100275, 705976.169408 7058209.941559)"
1870,"LINESTRING (705866.686718 7058174.024042, 705861.879332 7058175.188995)"
1899,"LINESTRING (703448.03121 7061255.665101, 703446.42583 7061250.995106)"
1929,"LINESTRING (704843.277928 7061285.994551, 704842.332057 7061281.959888)"
1959,"LINESTRING (705536.165292 7059186.281268, 705533.235718 7059188.763239)"
1988,"LINESTRING (704868.439582 7057705.674102, 704704.267039 7057703.082339)"
2018,"LINESTRING (706054.763733 7059112.327997, 706049.549378 7059116.957804)"
2048,"LINESTRING (705966.90177 7059209.767483, 705965.016418 7059216.506935)"
2077,"LINESTRING (705940.600184 7059483.632793, 705940.853603 7059485.24879)"
2107,"LINESTRING (705580.03096 7060108.807299, 705580.786981 7060111.025519)"
2137,"LINESTRING (712319.160552 7065141.287448, 712282.484863 7065106.560647)"
2167,"LINESTRING (713279.499619 7065567.041509, 713229.483615 7065638.823261)"
2196,"LINESTRING (712459.317909 7065460.868969, 712461.925228 7065463.12584)"
2226,"LINESTRING (711820.2343 7064884.738875, 711823.870796 7064882.696111)"
2256,"LINESTRING (704709.854249 7058797.284688, 704714.014769 7058797.410762)"
2285,"LINESTRING (704550.456432 7058462.244077, 704532.225913 7058452.53505)"
2315,"LINESTRING (704129.05986 7060037.570193, 704123.798603 7060032.251087)"
2345,"LINESTRING (704999.902889 7059563.767127, 705004.812345 7059549.954242)"
2374,"LINESTRING (704289.562357 7057860.284685, 704261.295952 7057862.948489)"
2404,"LINESTRING (703873.398235 7057896.261922, 703837.390577 7057899.446225)"
2434,"LINESTRING (702968.658556 7058969.317181, 702970.288396 7058969.95319)"
2463,"LINESTRING (702479.367984 7058209.205806, 702480.896251 7058215.724998)"
2493,"LINESTRING (704391.791278 7062054.173492, 704393.484179 7062108.454005)"
2523,"LINESTRING (704367.268693 7062478.504669, 704373.315078 7062509.187163)"
2552,"LINESTRING (708770.710403 7062274.994162, 708762.382165 7062278.223831)"
2582,"LINESTRING (707750.271827 7062210.694269, 707744.629004 7062203.532415)"
2612,"LINESTRING (705225.784949 7062053.174404, 705226.004889 7062067.972956)"
2641,"LINESTRING (705382.782593 7061921.91008, 705372.775051 7061919.68294)"
2671,"LINESTRING (705205.796072 7061883.911031, 705198.491532 7061884.873705)"
2701,"LINESTRING (705574.963526 7061865.757746, 705589.648494 7061851.876701)"
2731,"LINESTRING (705769.436715 7061672.028257, 705764.633881 7061664.835892)"
2760,"LINESTRING (705991.368958 7065107.478182, 705993.923518 7065108.695594)"
2790,"LINESTRING (706478.8067 7067388.209617, 706479.630517 7067391.832415)"
2820,"LINESTRING (706414.898804 7067500.858848, 706411.49896 7067497.233099)"
2849,"LINESTRING (710281.548949 7061280.419866, 710288.482917 7061281.546937)"
2879,"LINESTRING (713352.833467 7062029.808913, 713371.794644 7061986.361713)"
2909,"LINESTRING (713081.586676 7062607.265023, 713075.663797 7062619.965837)"
2938,"LINESTRING (713240.628172 7063670.797714, 713242.541102 7063664.461538)"
2968,"LINESTRING (704987.52879 7059635.594803, 704986.475223 7059648.831718)"
2998,"LINESTRING (705018.399706 7059824.763478, 705019.86718 7059832.063461)"
