service_id,O_j,geometry_wkt
0,1.0,POINT (699047.194374 7057287.58259)
1,1.0,POINT (700551.165185 7057045.53385)
2,1.0,POINT (701284.524981 7049980.342492)
3,1.0,POINT (711084.132196 7068793.549018)
4,1.0,POINT (705945.838939 7061092.701283)
5,1.0,POINT (702462.015663 7057054.511349)
6,1.0,POINT (712204.4938 7064786.905384)
7,1.0,POINT (712856.534048 7072109.658202)
8,1.0,POINT (690633.810371 7065331.757395)
9,1.0,POINT (701996.295867 7057057.213805)
10,1.0,POINT (702399.442162 7056968.797782)
11,1.0,POINT (708135.678156 7070639.218842)
12,1.0,POINT (702245.459454 7056914.957246)
13,1.0,POINT (705473.49081 7058122.284535)
14,1.0,POINT (703294.093995 7063559.301693)
15,1.0,POINT (686346.631993 7048434.832595)
16,1.0,POINT (713245.317578 7066606.167561)
17,1.0,POINT (701144.676239 7050270.256708)
18,1.0,POINT (713938.988283 7065063.582551)
19,1.0,POINT (711092.246634 7068875.54509)
20,1.0,POINT (706071.727778 7061367.002057)
21,1.0,POINT (702312.500649 7057264.22684)
22,1.0,POINT (702434.366068 7056821.994723)
23,1.0,POINT (702109.190916 7057131.523249)
24,1.0,POINT (702589.723338 7056567.160539)
25,1.0,POINT (702329.141029 7056719.360556)
26,1.0,POINT (702287.814044 7056521.588885)
27,1.0,POINT (702212.689832 7057010.838614)
28,1.0,POINT (702455.027732 7056805.600155)
29,1.0,POINT (714119.144479 7065033.274039)
30,1.0,POINT (710785.979478 7061793.742181)
31,1.0,POINT (710472.18303 7069749.074123)
32,1.0,POINT (704510.930844 7061062.737463)
33,1.0,POINT (698093.772063 7061553.87728)
34,1.0,POINT (715746.892591 7067050.701655)
35,1.0,POINT (712199.317305 7064552.73435)
36,1.0,POINT (705516.757272 7058337.626823)
37,1.0,POINT (692459.969334 7065046.209413)
38,1.0,POINT (707236.496646 7063277.999057)
39,1.0,POINT (691467.187696 7065595.603022)
