zone_id,P_i,is_vulnerable,in_model_sample,geometry_wkt
0,2.0,False,False,"POLYGON ((687199.396489 7064993.83499, 687180.372414 7065193.128258, 687379.958359 7065212.297934, 687398.981957 7065013.004448, 687199.396489 7064993.83499))"
1,12.0,False,False,"POLYGON ((687313.531277 7063798.083921, 687294.509963 7063997.37475, 687494.093045 7064016.543123, 687513.113882 7063817.252077, 687313.531277 7063798.083921))"
2,3.0,False,False,"POLYGON ((687294.509963 7063997.37475, 687275.488188 7064196.665985, 687475.071747 7064215.834575, 687494.093045 7064016.543123, 687294.509963 7063997.37475))"
3,4.0,False,False,"POLYGON ((687094.926856 7063978.20583, 687075.904604 7064177.496848, 687275.488188 7064196.665985, 687294.509963 7063997.37475, 687094.926856 7063978.20583))"
4,2.0,False,False,"POLYGON ((687113.948647 7063778.915217, 687094.926856 7063978.20583, 687294.509963 7063997.37475, 687313.531277 7063798.083921, 687113.948647 7063778.915217))"
5,10.0,False,False,"POLYGON ((687132.969978 7063579.625011, 687113.948647 7063778.915217, 687313.531277 7063798.083921, 687332.552132 7063598.793497, 687132.969978 7063579.625011))"
6,4.0,False,False,"POLYGON ((687151.990849 7063380.335209, 687132.969978 7063579.625011, 687332.552132 7063598.793497, 687351.572527 7063399.503479, 687151.990849 7063380.335209))"
7,4.0,False,False,"POLYGON ((686952.409145 7063361.166392, 686933.387798 7063560.455976, 687132.969978 7063579.625011, 687151.990849 7063380.335209, 686952.409145 7063361.166392))"
8,3.0,False,False,"POLYGON ((686752.827415 7063341.997027, 686733.805592 7063541.286394, 686933.387798 7063560.455976, 686952.409145 7063361.166392, 686752.827415 7063341.997027))"
9,13.0,False,False,"POLYGON ((686534.223359 7063522.116264, 686515.200599 7063721.40582, 686714.783308 7063740.576167, 686733.805592 7063541.286394, 686534.223359 7063522.116264))"
10,60.5,True,False,"POLYGON ((686733.805592 7063541.286394, 686714.783308 7063740.576167, 686914.36599 7063759.745966, 686933.387798 7063560.455976, 686733.805592 7063541.286394))"
11,20.0,False,False,"POLYGON ((686933.387798 7063560.455976, 686914.36599 7063759.745966, 687113.948647 7063778.915217, 687132.969978 7063579.625011, 686933.387798 7063560.455976))"
12,11.0,False,False,"POLYGON ((686914.36599 7063759.745966, 686895.343722 7063959.036361, 687094.926856 7063978.20583, 687113.948647 7063778.915217, 686914.36599 7063759.745966))"
13,11.0,False,False,"POLYGON ((686116.382959 7055236.611392, 686097.376223 7055435.883252, 686296.939695 7055455.047998, 686315.945961 7055255.775922, 686116.382959 7055236.611392))"
14,1.0,False,False,"POLYGON ((686078.369027 7055635.155506, 686059.361372 7055834.428155, 686258.925783 7055853.593333, 686277.932968 7055654.320468, 686078.369027 7055635.155506))"
15,7.0,False,False,"POLYGON ((686040.353256 7056033.7012, 686021.344682 7056232.974639, 686220.910033 7056252.140249, 686239.918138 7056052.866594, 686040.353256 7056033.7012))"
16,1.0,False,False,"POLYGON ((687703.396196 7057601.106116, 687684.388646 7057800.384276, 687883.957052 7057819.546487, 687902.964131 7057620.268111, 687703.396196 7057601.106116))"
17,2.0,False,False,"POLYGON ((687902.964131 7057620.268111, 687883.957052 7057819.546487, 688083.525432 7057838.708152, 688102.532039 7057639.429561, 687902.964131 7057620.268111))"
18,5.0,False,False,"POLYGON ((687921.970751 7057420.990133, 687902.964131 7057620.268111, 688102.532039 7057639.429561, 688121.538187 7057440.151367, 687921.970751 7057420.990133))"
19,9.0,False,False,"POLYGON ((687722.403288 7057401.828354, 687703.396196 7057601.106116, 687902.964131 7057620.268111, 687921.970751 7057420.990133, 687722.403288 7057401.828354))"
20,6.0,False,False,"POLYGON ((687560.849549 7056984.112127, 687541.842903 7057183.388879, 687741.409921 7057202.550989, 687760.416096 7057003.274021, 687560.849549 7056984.112127))"
21,4.0,False,False,"POLYGON ((687361.282975 7056964.949687, 687342.275858 7057164.226224, 687541.842903 7057183.388879, 687560.849549 7056984.112127, 687361.282975 7056964.949687))"
22,12.0,False,False,"POLYGON ((687399.295832 7056566.397805, 687380.289633 7056765.673548, 687579.855736 7056784.835772, 687598.861465 7056585.559813, 687399.295832 7056566.397805))"
23,5.0,False,False,"POLYGON ((687199.730173 7056547.235251, 687180.723503 7056746.510778, 687380.289633 7056765.673548, 687399.295832 7056566.397805, 687199.730173 7056547.235251))"
24,1.0,False,False,"POLYGON ((687541.842903 7057183.388879, 687522.835798 7057382.666028, 687722.403288 7057401.828354, 687741.409921 7057202.550989, 687541.842903 7057183.388879))"
25,5.0,False,False,"POLYGON ((686201.901469 7056451.414301, 686182.892446 7056650.688748, 686382.458711 7056669.854245, 686401.467264 7056470.579582, 686201.901469 7056451.414301))"
26,4.0,False,False,"POLYGON ((686658.054524 7055891.922054, 686639.047819 7056091.195746, 686838.612619 7056110.359504, 686857.618853 7055911.085596, 686658.054524 7055891.922054))"
27,7.0,False,False,"POLYGON ((686477.496883 7055673.484885, 686458.490167 7055872.757966, 686658.054524 7055891.922054, 686677.060769 7055692.648757, 686477.496883 7055673.484885))"
28,2.0,False,False,"POLYGON ((686277.932968 7055654.320468, 686258.925783 7055853.593333, 686458.490167 7055872.757966, 686477.496883 7055673.484885, 686277.932968 7055654.320468))"
29,29.0,False,False,"POLYGON ((686296.939695 7055455.047998, 686277.932968 7055654.320468, 686477.496883 7055673.484885, 686496.503139 7055474.212199, 686296.939695 7055455.047998))"
30,25.0,False,False,"POLYGON ((686315.945961 7055255.775922, 686296.939695 7055455.047998, 686496.503139 7055474.212199, 686515.508936 7055274.939908, 686315.945961 7055255.775922))"
31,39.0,False,True,"POLYGON ((686496.503139 7055474.212199, 686477.496883 7055673.484885, 686677.060769 7055692.648757, 686696.066556 7055493.375855, 686496.503139 7055474.212199))"
32,1.0,False,False,"POLYGON ((686715.071883 7055294.103348, 686696.066556 7055493.375855, 686895.629946 7055512.538966, 686914.634803 7055313.266243, 686715.071883 7055294.103348))"
33,15.0,False,False,"POLYGON ((686914.634803 7055313.266243, 686895.629946 7055512.538966, 687095.193308 7055531.701531, 687114.197696 7055332.428593, 686914.634803 7055313.266243))"
34,1.0,False,False,"POLYGON ((686696.066556 7055493.375855, 686677.060769 7055692.648757, 686876.624629 7055711.812083, 686895.629946 7055512.538966, 686696.066556 7055493.375855))"
35,1.0,False,False,"POLYGON ((687095.193308 7055531.701531, 687076.188461 7055730.974865, 687275.752267 7055750.137101, 687294.756643 7055550.863552, 687095.193308 7055531.701531))"
36,37.0,False,False,"POLYGON ((687114.197696 7055332.428593, 687095.193308 7055531.701531, 687294.756643 7055550.863552, 687313.760561 7055351.590397, 687114.197696 7055332.428593))"
37,5.5,False,False,"POLYGON ((687313.760561 7055351.590397, 687294.756643 7055550.863552, 687494.319951 7055570.025027, 687513.3234 7055370.751657, 687313.760561 7055351.590397))"
38,16.0,False,False,"POLYGON ((687294.756643 7055550.863552, 687275.752267 7055750.137101, 687475.316045 7055769.298792, 687494.319951 7055570.025027, 687294.756643 7055550.863552))"
39,79.0,False,False,"POLYGON ((687513.3234 7055370.751657, 687494.319951 7055570.025027, 687693.883232 7055589.185957, 687712.886211 7055389.912372, 687513.3234 7055370.751657))"
40,121.5,False,False,"POLYGON ((687712.886211 7055389.912372, 687693.883232 7055589.185957, 687893.446486 7055608.346342, 687912.448995 7055409.072541, 687712.886211 7055389.912372))"
41,16.0,False,True,"POLYGON ((687693.883232 7055589.185957, 687674.879795 7055788.459937, 687874.443519 7055807.620538, 687893.446486 7055608.346342, 687693.883232 7055589.185957))"
42,1.0,False,False,"POLYGON ((687494.319951 7055570.025027, 687475.316045 7055769.298792, 687674.879795 7055788.459937, 687693.883232 7055589.185957, 687494.319951 7055570.025027))"
43,13.0,False,False,"POLYGON ((687674.879795 7055788.459937, 687655.8759 7055987.734313, 687855.440094 7056006.895129, 687874.443519 7055807.620538, 687674.879795 7055788.459937))"
