scenario_id,split,structural,severity,extent_m,profile,Z_FULL,Z_FL,Delta_flow,flow_share,flow_response_sign
0,train,False,1.0,800.0,recurrent,0.0006437864224181,0.0006437871770251,-7.546069736956428e-10,-1.1721386898178036e-06,attenuation
1,train,False,0.25,800.0,recurrent,0.000643784317163,0.0006437845799322,-2.627691892201356e-10,-4.0816338984164003e-07,attenuation
2,train,False,0.75,300.0,persistent,0.0006438566625482,0.0006438574043503,-7.41802073434862e-10,-1.1521230059172211e-06,attenuation
3,train,False,0.5,800.0,recurrent,0.0012925711873699,0.0013521037304626,-5.9532543092671256e-05,-0.046057457936848324,attenuation
4,train,False,1.0,300.0,short,0.0009804762564477,0.0009804872665091,-1.1010061447399784e-08,-1.1229299409339727e-05,attenuation
5,train,False,0.25,300.0,recurrent,0.000643784122578,0.0006437844663843,-3.43806239879417e-10,-5.340396381673142e-07,attenuation
6,train,False,0.25,1600.0,recurrent,0.0025312766932682,0.0026359913194791,-0.0001047146262109,-0.04136830497012956,attenuation
7,train,False,0.5,300.0,recurrent,0.0006437837502946,0.0006437844674193,-7.171246695428234e-10,-1.1139216689061538e-06,attenuation
8,train,False,0.5,1600.0,persistent,0.0006440179734068,0.0006440193073229,-1.3339161432325206e-09,-2.0712405527693866e-06,attenuation
9,train,False,0.75,1600.0,recurrent,0.0016291534375229,0.0016932272187098,-6.407378118690444e-05,-0.03932949451607672,attenuation
10,train,False,0.75,300.0,recurrent,0.0006456913789283,0.0006457088539685,-1.7475040204923027e-08,-2.7064075462688687e-05,attenuation
11,train,False,0.5,800.0,persistent,0.0007419726718304,0.0007422072415211,-2.3456969064784405e-07,-0.00031614330224477853,attenuation
12,train,False,0.75,800.0,persistent,0.0008141170754632,0.0008155890700042,-1.4719945409622391e-06,-0.0018080870495496403,attenuation
13,train,False,0.75,300.0,persistent,0.0006437840117624,0.0006437844850301,-4.73267715165107e-10,-7.351343098277733e-07,attenuation
14,train,False,0.5,800.0,persistent,0.0009756518542241,0.0010057218703734,-3.0070016149268217e-05,-0.030820436633292512,attenuation
15,train,False,0.25,300.0,short,0.0006451840669176,0.0006451982723955,-1.4205477887638087e-08,-2.2017713418599264e-05,attenuation
16,train,False,1.0,300.0,recurrent,0.0006616743760479,0.0006616749826774,-6.066295108386395e-10,-9.168097372335367e-07,attenuation
17,train,False,0.5,1600.0,recurrent,0.0022406979326043,0.0023800290788949,-0.0001393311462906,-0.062182030100174784,attenuation
18,train,False,0.5,1600.0,persistent,0.0006470553201696,0.0006471130341121,-5.7713942462254114e-08,-8.919475764008351e-05,attenuation
19,train,False,0.5,1600.0,recurrent,0.0006591318592583,0.0006591336090383,-1.7497800118559947e-09,-2.6546737003806283e-06,attenuation
20,train,False,0.25,1600.0,recurrent,0.0010039810514728,0.0010188486315492,-1.4867580076456707e-05,-0.014808626173418875,attenuation
21,train,False,0.75,300.0,recurrent,0.0006437840865131,0.0006437844663843,-3.7987120003399317e-10,-5.900599408902342e-07,attenuation
22,train,False,0.75,1600.0,short,0.0006439564658001,0.0006439570181076,-5.523074778556944e-10,-8.576782860149809e-07,attenuation
23,train,False,1.0,300.0,persistent,0.0006437841269959,0.0006437844835111,-3.5651513696517007e-10,-5.537805640359327e-07,attenuation
24,train,False,0.5,1600.0,recurrent,0.0006524017971067,0.000652484734463,-8.293735631495319e-08,-0.00012712619229862242,attenuation
25,train,False,0.25,300.0,recurrent,0.0006437844712434,0.0006437844663843,4.859142602176014e-12,7.54777851784947e-09,amplification
26,train,False,0.5,800.0,short,0.0006624665929205,0.0006625037822089,-3.7189288425252404e-08,-5.613760576409223e-05,attenuation
