split,reference,candidate,comparison,n_scenarios,delta_Z,Z_ci_lo,Z_ci_hi,delta_Q,Q_ci_lo,Q_ci_hi,delta_CVaR,CVaR_ci_lo,CVaR_ci_hi,delta_J,J_ci_lo,J_ci_hi,p_signflip_Z,p_wilcoxon_Z,fraction_candidate_lower_Z,p_signflip_Z_holm,p_wilcoxon_Z_holm,direction_J
test,B0,B5,B0_minus_B5,100,2.899567386958088e-07,-1.1577356331100938e-07,8.11073230161273e-07,6.771679365371745e-09,-2.6499271993524253e-08,4.876352893099332e-08,2.3527485644933305e-06,-1.6869513876429286e-06,7.365618051263832e-06,2.0579040017486457e-06,-1.3149320577159277e-06,6.47886259823309e-06,0.26303736962630375,0.5269610710548687,0.45,0.5260747392526075,0.7649615510520367,B5 lower J
test,B1,B5,B1_minus_B5,100,5.596322890840039e-07,-6.802818416027668e-09,1.337623816250166e-06,3.580434183157895e-10,-3.192326448601583e-08,3.347649808822668e-08,4.867920751789462e-06,-6.136802108599221e-07,1.2510935456331707e-05,4.210751874635186e-06,-5.080812779881449e-07,1.0624765576911128e-05,0.12070879291207087,0.0027775367201682928,0.57,0.47319526804731954,0.011110146880673171,B5 lower J
test,B2,B5,B2_minus_B5,100,-1.42808940084472e-06,-2.6021218608447702e-06,-4.5389937207718535e-07,1.4566763960271544e-07,3.2895838509485117e-08,3.0218530488499876e-07,-7.510194582904979e-06,-1.6203970431883398e-05,1.7002002008390428e-07,-6.987901518222019e-06,-1.450195424467852e-05,-3.75033957784096e-07,0.005619943800561995,0.03977111892032125,0.42,0.028099719002809973,0.11931335676096375,benchmark lower J
test,B3,B5,B3_minus_B5,100,5.640097039705737e-07,-9.242031622937746e-09,1.3461766637860977e-06,-1.8816854930142717e-09,-3.3832101789050303e-08,3.100885184706995e-08,4.882418341230687e-06,-6.140852446391858e-07,1.240417932610545e-05,4.224882617147058e-06,-5.990062625524327e-07,1.0598653005831068e-05,0.11829881701182988,1.3571797346865746e-07,0.69,0.47319526804731954,6.785898673432874e-07,B5 lower J
test,B4,B5,B4_minus_B5,100,3.1885686197185927e-07,-1.7231878409567804e-07,9.766068769679016e-07,-2.721198628599601e-09,-5.3168161308197e-08,4.167214243162533e-08,2.9486753245571394e-06,-1.9811580273574306e-06,9.600018512887605e-06,2.5290027560755622e-06,-1.588609535028442e-06,8.345148882153825e-06,0.3418065819341807,0.38248077552601834,0.49,0.5260747392526075,0.7649615510520367,B5 lower J
test_structural,B0,B5,B0_minus_B5,80,2.9931246979336987e-06,1.876898119878664e-06,4.325265302024021e-06,9.249897928693907e-08,3.9272862769127154e-09,1.8790527705029903e-07,1.5028046126461421e-05,6.2574689171416904e-06,2.4176363276566394e-05,1.431040878242286e-05,6.710945849596353e-06,2.2275987830977505e-05,9.99990000099999e-06,5.874012391509738e-12,0.8375,4.9999500004999955e-05,1.7622037174529215e-11,B5 lower J
test_structural,B1,B5,B1_minus_B5,80,4.105815231076425e-06,2.6291149288480116e-06,5.898721272063613e-06,1.0219448190698384e-07,-3.760734480933257e-09,2.2390226539459016e-07,2.11209215677053e-05,9.889520230120736e-06,3.196775044986798e-05,1.999760364780872e-05,1.0213619711967113e-05,2.975351142578699e-05,9.99990000099999e-06,7.475199774436541e-13,0.8625,4.9999500004999955e-05,2.9900799097746165e-12,B5 lower J
test_structural,B2,B5,B2_minus_B5,80,-5.248467106770367e-06,-9.728583679639486e-06,-1.5663047164547018e-06,1.8964117836890414e-07,6.173927541661292e-08,3.330008437081123e-07,5.511399666545229e-06,-3.050225658153883e-05,1.023414038937246e-05,-1.0200967676772185e-06,-2.9769566827991004e-05,4.694787071440277e-06,0.004839951600483995,0.8553795410111338,0.6125,0.004839951600483995,0.8553795410111338,benchmark lower J
test_structural,B3,B5,B3_minus_B5,80,4.134110529736771e-06,2.6400030590522356e-06,5.878275234826502e-06,8.655352905841135e-08,-2.8276234192435248e-08,2.0896502805212041e-07,2.1273388591556107e-05,1.0051270144364588e-05,3.197024895621077e-05,2.013242873793314e-05,1.032896888679988e-05,2.9767626657582753e-05,9.99990000099999e-06,1.1026754326146028e-14,0.975,4.9999500004999955e-05,5.513377163073014e-14,B5 lower J
test_structural,B4,B5,B4_minus_B5,80,3.037918459608854e-06,1.7615166803405802e-06,4.601408617136125e-06,8.476469279835177e-08,-8.903786859030924e-09,1.898860039950831e-07,1.7068482285781915e-05,7.308419860511518e-06,2.5903573672927852e-05,1.5881662520344716e-05,7.346143568751052e-06,2.373801041111643e-05,9.99990000099999e-06,1.1140825202971103e-08,0.75,4.9999500004999955e-05,2.2281650405942206e-08,B5 lower J
