split,scenario_id,delta_Z_B4_minus_B5,delta_Q_B4_minus_B5
test,240,4.664081921243804e-10,1.5205892426282952e-11
test,241,-3.6280198246682605e-11,-3.078324346730138e-11
test,242,-3.539437961469494e-10,1.1100019015920781e-12
test,243,1.898559405500398e-09,-1.3334823817097267e-08
test,244,2.8484309854380496e-10,-1.0797614750012938e-10
test,245,2.0238377954843317e-10,-6.926354504050228e-11
test,246,4.3726970951887476e-07,1.1064775701414859e-07
test,247,-1.041050900867091e-09,2.5987278767704985e-10
test,248,-3.691694253126019e-08,2.2507257660918378e-08
test,249,-2.397315398494984e-10,1.8451085819805313e-11
test,250,-2.1148206215643e-08,6.466426365669877e-09
test,251,-1.80649351380624e-10,-3.980009193309958e-11
test,252,9.397384405146134e-09,-1.0160004188062167e-08
test,253,4.299587617363765e-11,2.5142211446463336e-12
test,254,-7.569908390013189e-09,-1.247670047946391e-08
test,255,5.912335942110129e-07,2.2656389926645464e-08
test,256,-3.719515815139851e-10,3.0291498584640586e-11
test,257,-8.940504673399241e-11,2.7919243306140373e-11
test,258,3.210968866513295e-07,7.909787409521871e-08
test,259,1.3069027778522205e-07,-1.7682974418666833e-07
test,260,3.6145569946421235e-10,-7.582115453064545e-11
test,261,4.032013194962651e-06,1.2941658553421468e-06
test,262,-9.88547246686712e-09,5.707770024633227e-09
test,263,6.243699215415996e-10,1.1946883911838346e-11
test,264,1.217654588482565e-06,-1.4267192283926727e-08
test,265,6.78319899172523e-08,-4.137247870846222e-09
test,266,-4.75627023161472e-09,2.000806882587053e-09
test,267,-2.2822357849047736e-10,8.725952198220671e-12
test,268,-1.037802066505833e-10,-3.9516696935092827e-11
test,269,3.56216315342342e-10,-9.475764053620828e-11
test,270,-2.6423118077226193e-10,-3.8840527040277795e-11
test,271,2.4886155649415237e-05,2.3835385542462367e-11
test,272,7.281766534476992e-07,1.6995846054075657e-07
test,273,5.215988480977013e-11,2.0824634497287192e-11
test,274,1.9317420141732418e-06,-1.1859531483265516e-07
test,275,4.586621705267996e-10,-1.0192241825914342e-10
test,276,3.8728886634156745e-12,-9.39431836900588e-11
test,277,-3.778105096569756e-10,2.5201653860561918e-11
test,278,-1.0841605662271353e-10,-8.974833300579715e-12
test,279,-9.963990667705841e-11,1.32764063414878e-12
test,280,-2.811752212355037e-10,2.62093745686566e-11
test,281,-2.435518421255861e-06,-6.945244736491661e-07
test,282,-5.690000778489288e-10,2.365350255072174e-11
test,283,4.078393484475279e-10,-1.4382517458900665e-10
test,284,4.4832047125034635e-07,9.733528940741301e-08
test,285,-4.187734927709949e-10,-7.595706279662356e-11
test,286,1.0903750396074746e-10,-2.0791391720266506e-11
test,287,1.4668291299473057e-10,-2.355407763363765e-11
test,288,-2.563815999778729e-11,-4.609697221375289e-11
test,289,-5.259265196738347e-10,-1.9378982088740643e-11
test,290,-5.45389146171249e-13,8.270524477944907e-11
test,291,1.8741678814351154e-10,-6.080092738959195e-11
test,292,6.316791447552594e-11,-3.437405416729933e-12
test,293,1.0522693265780508e-09,-4.755571533354014e-12
test,294,-2.525351169499479e-10,9.464682472004951e-11
test,295,-5.91073197114475e-10,5.433447962388538e-11
test,296,2.4022776671552004e-10,-3.1536896466684283e-11
test,297,1.3888901725760128e-10,-9.010879585893972e-11
test,298,-8.775191510934643e-12,5.532282856650361e-12
test,299,2.3503291327053866e-10,-2.1783528431594534e-11
test,300,5.842024594919677e-08,1.4918790185430159e-09
test,301,2.833485407795818e-08,2.7607096780065538e-09
test,302,2.4884429369528838e-11,-1.844993212027357e-11
test,303,-2.3888139188098234e-11,7.334563024204849e-11
test,304,-8.512065167661214e-06,1.1490869044586578e-09
test,305,3.929144897808767e-08,9.160774290127485e-09
test,306,-2.510907385545229e-07,1.836852086331141e-07
test,307,-5.40134827814974e-09,2.6581655444276675e-07
test,308,-3.2558439928484506e-10,1.1038173337602625e-10
test,309,1.2042376872165722e-10,-3.696531297205097e-11
test,310,-1.0798769777692341e-10,4.025152715476932e-12
test,311,9.582528271313145e-11,-2.9231230663003677e-11
test,312,-3.807730685661051e-10,7.2184564640746796e-12
test,313,-3.3597046368918915e-10,-3.621265429448045e-11
test,314,-5.735176437956461e-06,-1.7801851095079627e-06
test,315,3.817024080125407e-07,2.9529650410846636e-08
test,316,-1.3254247428328564e-10,-2.8358837684833854e-11
test,317,-2.412180858703261e-10,-3.865493049346608e-12
test,318,1.5238811039630304e-06,3.808556042026877e-07
test,319,-7.549518027871391e-10,3.0804358228716383e-10
test,320,2.632604339603342e-10,2.333847322756426e-10
test,321,1.220725929612339e-07,1.0416261411348368e-08
test,322,-1.4935651083958223e-09,1.42598732556223e-09
test,323,4.5065747357811436e-11,-1.0497132839609041e-11
test,324,-5.888419549052518e-10,-1.5080901208820024e-11
test,325,-1.2414255289982384e-10,3.413506803606747e-11
test,326,1.1110922959419768e-05,-6.198382508619543e-08
test,327,-2.8639780325946662e-11,1.5995887085598973e-10
test,328,2.2579331709340553e-07,-2.1803077114796246e-08
test,329,1.9496556192405423e-10,9.728182343883562e-12
test,330,-8.206277324774441e-09,-1.370911444531931e-09
test,331,-9.330324795111047e-10,1.8230468501988228e-10
test,332,1.2758229067395127e-09,1.9150892063574815e-09
test,333,3.282861660465486e-10,-6.945421500295992e-11
test,334,-3.5990933258851776e-10,-3.0964066217737535e-11
test,335,-1.3308383908783306e-11,-6.939918540012358e-11
test,336,-6.1862534325848526e-09,2.8143462305085278e-09
test,337,-4.9518158562293635e-11,7.372785802012283e-11
test,338,6.301489953680715e-07,-6.438972330064657e-08
test,339,-1.6129347748909673e-10,3.478857517813169e-11
test_structural,340,9.974716770605593e-07,3.0644240855059665e-07
test_structural,341,1.3918451916179742e-10,7.807252023692146e-13
test_structural,342,5.158792914334784e-10,-2.2273714318267468e-10
test_structural,343,-3.2799274667788536e-10,6.262549219438959e-11
test_structural,344,3.515570865299635e-06,1.0967388176918308e-06
test_structural,345,1.9465647083737915e-05,-1.0803688628840946e-07
test_structural,346,2.4821777707890232e-06,-3.0157741668832526e-08
test_structural,347,2.0977044262953477e-06,-3.0846157031807e-07
test_structural,348,1.3917974566184273e-07,-5.300948638375935e-10
test_structural,349,5.874174858594948e-06,-3.0247980335030124e-07
test_structural,350,9.042863326086956e-07,7.394646528202696e-08
test_structural,351,1.151861980300782e-05,-5.794112948979155e-07
test_structural,352,1.1511523133143214e-06,3.52801962091474e-07
test_structural,353,3.0592623195368866e-06,-2.1871427208068096e-08
test_structural,354,1.595756801254112e-06,4.777647316565013e-07
test_structural,355,-1.1683041827807022e-10,-1.275757601773217e-10
test_structural,356,4.671881805313159e-06,8.898223514060039e-07
test_structural,357,3.427248963667681e-06,-1.702932009825292e-07
test_structural,358,8.669526330206193e-08,-8.939624800136233e-08
test_structural,359,3.7726291236461675e-06,-7.644141019697232e-08
test_structural,360,2.016921944682573e-06,3.566388697979063e-07
test_structural,361,3.9592847501759496e-05,-1.3377595398357276e-07
test_structural,362,3.2696366965615474e-06,1.0437847030525874e-06
test_structural,363,1.3143821366894603e-06,8.96135261944128e-08
test_structural,364,3.3417667597316833e-06,4.918579452006474e-07
test_structural,365,2.8847385862016198e-06,-2.158684238279902e-08
test_structural,366,1.6866213493112875e-10,3.326772310321274e-11
test_structural,367,1.5122560558938902e-06,-8.956168466571653e-09
test_structural,368,-6.4761612001904e-10,4.6022189190012344e-10
test_structural,369,8.803342506966301e-06,2.0957207024557487e-06
test_structural,370,-1.173489813527731e-05,4.2895684476164375e-07
test_structural,371,1.080544348658688e-10,-1.6173810771583086e-11
test_structural,372,2.201508633750855e-06,5.160735475595829e-07
test_structural,373,1.4763732963647778e-06,3.4076943691775836e-07
test_structural,374,-2.8388363079549783e-10,1.804745784241002e-11
