split,spec,n_scenarios,mean_Z,mean_Q,CVaR_Z,J,J_seed_sd,n_seeds
test,B0,100,0.0007997696886715138,0.00046081308884341865,0.001936911927299444,0.0024828601785678063,2.0558987261582583e-06,10
test,B1,100,0.000800039364221902,0.0004608066752074716,0.00193942709948674,0.002485013026440693,,1
test,B2,100,0.0007980516425319734,0.00046095198480365597,0.0019270489841520457,0.0024738143730478356,,1
test,B3,100,0.0008000437416367885,0.0004608044354785602,0.0019394415970761813,0.0024850271571832047,,1
test,B4,100,0.0007997985887947899,0.0004608035959654246,0.0019375078540595078,0.0024833312773221332,,1
test,B5,100,0.0007994797319328181,0.00046080631716405323,0.0019345591787349506,0.0024808022745660577,3.892759202250988e-06,10
test_structural,B0,80,0.0020948788198405397,0.00039732069688095463,0.007252753544978044,0.00773310432701455,2.8703544955431885e-06,10
test_structural,B1,80,0.0020959915103736827,0.0003973303923835747,0.007258846420419288,0.007738791521879936,,1
test_structural,B2,80,0.0020866372280358356,0.0003974178390800365,0.007243236898518128,0.00771777382146445,,1
test_structural,B3,80,0.002096019805672343,0.0003973147514307261,0.007258998887443139,0.0077389263469700605,,1
test_structural,B4,80,0.0020949236136022153,0.00039731296259446603,0.007254793981137365,0.007734675580752472,,1
test_structural,B5,80,0.002091885695142606,0.0003972281979016676,0.007237725498851583,0.007718793918232127,2.005416083027412e-05,10
